Printer,Texture,Test_Type,Comparison,Raw_Avg_Distance,Std_Deviation
R,3,T,3 vs 1,0.00019602,0.00012033
R,3,T,3 vs 2,0.00019150,0.00011448
R,3,T,3 vs 4,0.00018937,0.00013612
R,3,T,3 vs 5,0.00020941,0.00011207
R,3,T,4 vs 1,0.00019846,0.00012738
R,3,T,4 vs 2,0.00019977,0.00010606
R,3,T,4 vs 3,0.00018721,0.00012180
R,3,T,4 vs 5,0.00018759,0.00011689
R,3,T,5 vs 1,0.00019903,0.00011973
R,3,T,5 vs 2,0.00020009,0.00010411
R,3,T,5 vs 3,0.00018584,0.00012100
R,3,T,5 vs 4,0.00019953,0.00011889
